0	50	74	32	100	8	41	75	81	26	98	74	65	96	36
50	0	87	88	80	60	37	43	61	5	92	37	14	58	73
74	87	0	51	38	66	54	7	45	54	34	69	65	96	4
32	88	51	0	12	16	48	81	65	58	24	99	75	85	47
100	80	38	12	0	12	24	70	46	77	85	74	29	95	73
8	60	66	16	12	0	46	61	53	94	65	6	3	83	77
41	37	54	48	24	46	0	27	7	88	97	29	72	67	79
75	43	7	81	70	61	27	0	69	2	89	56	34	14	35
81	61	45	65	46	53	7	69	0	60	45	12	66	3	96
26	5	54	58	77	94	88	2	60	0	90	62	35	62	47
98	92	34	24	85	65	97	89	45	90	0	9	87	58	83
74	37	69	99	74	6	29	56	12	62	9	0	66	69	84
65	14	65	75	29	3	72	34	66	35	87	66	0	31	42
96	58	96	85	95	83	67	14	3	62	58	69	31	0	69
36	73	4	47	73	77	79	35	96	47	83	84	42	69	0
 
