35 30 13
34 24 13
33 18 13
32 12 13
31 6 13
30 31 13
29 25 13
28 19 13
27 13 13
26 7 13
25 1 13
24 32 13
23 26 13
22 20 13
21 14 13
20 8 13
19 2 13
18 33 13
17 27 13
16 21 13
15 15 13
14 9 13
13 3 13
12 34 13
11 28 13
10 22 13
9 16 13
8 10 13
7 4 13
6 35 13
5 29 13
4 23 13
3 17 13
2 11 13
1 5 13

36 34 12
35 28 12
34 22 12
33 16 12
32 10 12
31 4 12
29 29 12
28 23 12
27 17 12
26 11 12
25 5 12
24 36 12
23 30 12
22 24 12
21 18 12
20 12 12
19 6 12
18 31 12
17 25 12
16 19 12
15 13 12
14 7 12
13 1 12
12 32 12
11 26 12
10 20 12
9 14 12
8 8 12
7 2 12
6 33 12
5 27 12
4 21 12
3 15 12
2 9 12
1 3 12

36 3 8
35 34 8
34 28 8
33 22 8
32 16 8
31 10 8
30 4 8
28 29 8
27 23 8
26 17 8
25 11 8
24 5 8
23 36 8
22 30 8
21 24 8
20 18 8
19 12 8
18 6 8
17 31 8
16 25 8
15 19 8
14 13 8
13 7 8
12 1 8
11 32 8
10 26 8
9 20 8
8 14 8
7 8 8
6 2 8
5 33 8
4 27 8
3 21 8
2 15 8
1 9 8

# random
1 12 7
1 25 17
1 26 18
1 27 19
1 28 20
1 29 21
1 30 22
1 31 1
1 32 2
1 33 3
1 34 4
1 35 23
1 36 24
2 12 10
2 27 4
2 36 7
3 12 11
3 13 27
3 14 33
3 16 15
3 18 32
3 19 21
3 20 22
3 22 24
3 23 25
3 24 23
3 25 1
3 26 2
3 27 3
3 28 5
3 29 6
3 30 7
3 36 9
4 12 14
4 36 10
5 12 15
5 36 11
6 12 16
6 27 29
6 36 14
7 1 30
7 5 15
7 6 16
7 7 36
7 9 35
7 10 34
7 11 33
7 12 17
7 13 32
7 14 31
7 15 29
7 16 28
7 17 27
7 18 26
7 19 25
7 20 24
7 21 23
7 22 22
7 23 21
7 24 20
8 12 18
8 24 26
8 25 19
8 26 21
8 27 2
8 28 35
9 29 31
9 30 1
9 12 19
9 24 27
10 12 20
10 24 28
11 12 21
11 24 29
12 12 22
12 24 30
12 31 5
12 33 6
12 35 9
12 36 27
13 12 23
13 13 1
13 14 2
13 15 3
13 16 4
13 17 5
13 19 6
13 20 7
13 21 9
13 22 10
13 23 11
13 24 14
13 25 15
13 26 16
13 27 17
13 28 18
13 29 19
13 30 20
14 1 1
14 3 27
14 12 24
14 18 33
14 30 21
15 1 2
15 3 31
15 12 25
15 18 30
15 30 23
16 1 3
16 3 17
16 12 26
16 18 29
16 30 24
17 3 7
17 12 27
17 18 28
17 30 25
18 1 4
18 3 9
18 12 28
18 18 27
18 19 5
18 30 26
19 3 2
19 4 4
19 5 5
19 7 3
19 8 24
19 9 23
19 10 22
19 11 21
19 30 27
20 30 28
21 30 29
24 1 36
24 2 35
24 3 34
24 4 33
24 6 31
24 7 29
24 8 28
24 9 27
24 10 26
24 11 25
24 12 2
24 13 24
24 14 23
24 15 22
24 16 21
24 17 20
24 18 18
24 19 17
24 20 16
24 21 15
24 22 14
24 23 10
24 24 9
24 25 7
24 26 6
24 27 5
24 28 4
24 29 3
24 30 30
25 3 1
25 4 2
25 6 3
25 7 4
25 8 5
25 9 6
25 10 7
25 12 9
25 21 16
25 22 36
25 23 35
25 24 34
25 30 31
26 1 17
26 30 32
26 35 7
27 1 19
27 30 33
27 35 21
28 1 20
28 30 34
28 35 19
29 1 21
29 30 35
30 1 6
30 7 1
30 8 3
30 9 2
30 10 10
30 11 11
30 12 35
30 13 14
30 14 15
30 15 16
30 16 17
30 17 18
30 18 19
30 19 20
30 20 21
30 21 22
30 22 23
30 23 24
30 24 25
30 25 26
30 26 27
30 27 28
30 28 29
30 29 30
30 30 36
31 1 7
31 31 17
31 32 9
31 33 25
31 34 24
31 35 22
31 36 1
32 1 9
32 36 2
33 1 10
33 36 3
34 1 11
34 19 1
34 20 2
34 21 3
34 23 9
34 36 4
35 1 14
35 13 2
35 14 3
35 15 4
35 16 6
35 17 19
35 18 20
35 36 5
36 1 16
36 2 2
36 4 3
36 5 4
36 6 5
36 7 7
36 8 6
36 9 9
36 10 11
36 11 14
36 12 1
