# 0-1 Knapsack with 15 items
#number of items
50
#Knapsack capacity
450
#items weight cost
1	25	29
2	6	7
3	1	10
4	6	15
5	2	8
6	3	6
7	26	31
8	29	31
9	1	9
10	12	14
11	14	9
12	3	4
13	9	11
14	21	31
15	26	34
16	26	30
17	26	31
18	10	6
19	17	21
20	18	19
21	18	11
22	16	8
23	20	19
24	8	4
25	4	10
26	3	11
27	24	20
28	12	7
29	18	14
30	26	33
31	21	28
32	12	22
33	1	9
34	22	13
35	18	27
36	2	4
37	24	21
38	14	18
39	1	4
40	25	20
41	26	21
42	14	22
43	27	28
44	4	12
45	5	12
46	23	21
47	30	31
48	30	32
49	3	8
50	17	11
