# 0-1 Knapsack with 15 items
#number of items
50
#Knapsack capacity
700
#items weight cost
1	25	27
2	26	18
3	8	7
4	3	5
5	29	35
6	26	21
7	15	21
8	30	36
9	25	34
10	15	6
11	6	4
12	12	6
13	11	16
14	27	19
15	25	20
16	10	15
17	27	27
18	30	32
19	14	24
20	3	4
21	27	21
22	19	9
23	17	16
24	30	22
25	17	23
26	28	35
27	15	11
28	15	5
29	4	8
30	29	34
31	9	8
32	28	29
33	24	31
34	17	25
35	30	31
36	23	26
37	13	6
38	14	11
39	22	20
40	7	5
41	29	27
42	27	33
43	19	15
44	10	2
45	24	32
46	14	15
47	20	27
48	20	18
49	13	6
50	3	10
